Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
Loop the Loop (Coney Island),,Steel,,,1901,,,,Edwin Prescott,,,,1,,,,,,,,,,,,,,1901,,,Steel,Edwin Prescott,Edward A. Green,,,,,,,,,,,,Loop the Loop (Coney Island),"Loop the Loop was the second looping roller coaster ever to be built on Coney Island and was one of a handful of early looping roller coasters built in the United States in the late 1800s and early 1900s. It was designed by Edward Green and manufactured by Edwin Prescott. The coaster was operated independently, and was not part of one of the cohesive amusement parks which existed on Coney Island.The coaster was built at the corner of West 10th and Surf Avenue on Coney Island, near the current location of the famous Coney Island Cyclone and at the location of the former Switchback Railway. The Loop the Loop lasted from 1901 to 1910 but was a relative commercial failure because of the low rider volume. This low rider volume was partly a function of the small cars on the coaster, and partly because safety inspectors would not allow more than one car on the course at any given time, nor would they allow the cars to be joined into trains. The operators attempted to supplement the coaster's revenue by having an observation gallery where patrons could pay to watch others ride the roller coaster. Rides on the coaster itself cost 10 cents.",1910,1,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Switchback Railway,Giant Racer,General Statistics
Loop the Loop (Young's Pier),,Steel,,,1901,,,,Edwin Prescott,,,,1,,,,,,,,,,,,,,1901,,,Steel,Edwin Prescott,Edward A. Green,,,,,,,,,,,,Loop the Loop (Young's Pier),"Loop the Loop was designed and built in 1901 by Edward A. Green and Edwin Prescott on one of Captain John L. Young's piers in Atlantic City, New Jersey. It was the goal of Green and Prescott to create a looping coaster which would not be subject to the same extreme g-forces which plagued Lina Beecher's earlier Flip Flap Railway on Coney Island in New York.The Loop the Loop attracted considerable attention, and was promoted in a number of ways by John L. Young, the owner of the pier. For example, Young commissioned a photograph contest which offered a $40 prize for the best photograph of the new coaster (as well as numerous lesser prizes). Toy replicas were also made of the coaster.",1912,1,,,,General Statistics
Cannon Coaster,Coney Island,Wood,,,1902,,,,George Francis Meyer,,40 ft (12 m),,,,,,,,,,,,,,,,1902,Coney Island,,Wood,George Francis Meyer,,,,,40 ft (12 m),,,,,,,,Cannon Coaster,"The Cannon Coaster was designed and built by George Francis Meyer. Accounts report the coaster opening in either 1901 or 1902 and then closing in 1907. The coaster was originally designed with the purpose of having cars race out of a giant cannon and then jump over a gap in the track (a so-called ""leap-the-gap"" maneuver), but this gap element was removed in response to safety testing. The coaster was tested with sandbags and while there were some occasional successes, it quickly became clear that changing the weight distribution in the cars even slightly would risk crashes. While no one was hurt or killed, urban legends persisted of fatalities during this testing period.Though the gap was removed, the coaster retained its theme as a giant cannon. When riders reached the summit of the lift hill, they would pass through the ""bore"" of a cannon-shaped tunnel before speeding out from the ""muzzle"" of the cannon. The ride was actually described as being quite boring after the gap was removed, and its lingering popularity was thought to stem from the fictitious, yet gruesome, tales of death during its testing period.",1907,,,,,
Drop the Dip,Coney Island,,,,1907,,,,Arthur Jarvis,,60 ft (18 m),,,,,,1 minute 30 seconds,,,,,,,,,,1907,Coney Island,,,Arthur Jarvis,"Christopher Feucht, Welcome Mosley",,,,60 ft (18 m),,,,1 minute 30 seconds,,,,Drop the Dip,"The coaster opened on June 6, 1907, in the Bowery area of Coney Island to significant success. It operated for only a little more than a month, however, before it was destroyed by the 1907 Steeplechase Park fire. Soon after it was destroyed, Feucht rebuilt the coaster in even more extreme form. The coaster was also moved several times after the fire. It was moved across the street during the 1910s (in 24 hours) to acquire better rent values and then was moved once more to Luna Park in 1924 (then changing its name to Trip to the Moon) Throughout the years and moves, Feucht continued to make adjustments and improvements to the coaster. He also worked sometimes as a ride operator. The ride was popular at Coney Island and earned around $20,000 a year on a ticket price of 25 cents.",In the 1930s,,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,
Rough Riders (roller coaster),,Wood,,,1907,,,,William F. Mangels,,"4,200 ft (1,300 m)",,,,,,,,,,,,,,,,1907,,,Wood,William F. Mangels,Harry Traver,,,,"4,200 ft (1,300 m)",,,,,,,,Rough Riders (roller coaster),"W.F. Mangels installed his Rough Riders roller coaster on the Bowery and Jones Walk in 1907. The ride was a ""switchback railway,"" similar to Coney Island's first roller coaster from 1884. The ride began at the top of a hill, not at ground level, and reached a chained lift hill later on in the ride. It was a third rail electric roller coaster, in which the ride's operator turned off all electric power after the initial ascent. However, when the mechanism broke or the operator failed to turn it off, it would cause the ride to go at speeds too fast and overturn. Three people died on June 22, 1910, and when the train derailed again in 1915 and caused three more deaths, it was decided that the ride should be shut down. On the ride, people went past scenes from the Spanish–American War and ride workers wore Spanish–American War uniforms.",1914-1916,,,,,
Loop the Loop (Olentangy Park),Olentangy Park,Steel,,,1908,,,,Lina Beecher,,,,1,,,,,,,,,,,,,,1908,Olentangy Park,,Steel,Lina Beecher,Lina Beecher,,,,,,,,,,,,Loop the Loop (Olentangy Park),"Loop the Loop was designed in 1904 by engineer and inventor Lina Beecher who was a supervisor at the American Railway Company. Beecher had previously designed the wooden Flip Flap Railway at Paul Boyton's Sea Lion Park on Coney Island, New York, but that coaster's circular loop produced excessive g-forces on its riders. Adapting the steel construction and teardrop-shaped loop pioneered by Edwin Prescott (builder of Loop the Loop roller coasters on Coney Island and Atlantic City), Beecher constructed the Loop the Loop at Olentangy Park.  The coaster sat near the park's dancing pavilion. The ride was a failure, however, and it was removed shortly thereafter.",,1,,,,
Racer (1910 roller coaster),Kennywood,Wood – Racing,,,1910,,,,Charlie Mach,"4,500 ft (1,400 m)",72.5 ft (22.1 m),40 mph (64 km/h),0,,,,1:32,,,,,,,,,50 ft (15 m),1910,Kennywood,,Wood – Racing,Charlie Mach,John A. Miller,Racing,Möbius Loop,Chain lift,72.5 ft (22.1 m),50 ft (15 m),"4,500 ft (1,400 m)",40 mph (64 km/h),1:32,,1400 riders per hour,,Racer (1910 roller coaster),"The first Kennywood Racer was first built in 1910 as a side friction roller coaster by Frederick Ingersoll. It was a twin-track racing coaster designed by John Miller that cost nearly $50,000. When it was built, it was the largest racing coaster in the world.The original Racer had two trains racing side by side on two separate tracks. The wooden coaster lacked underfriction wheels, a limitation of side-friction designs, which resulted in a layout with gentle curves and dips. The trains consisted of three-seat cars with a seating capacity of eighteen. It was demolished in 1926 and replaced by Kiddieland.",,0,3 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,,
The Great Scenic Railway,Luna Park Melbourne,Wood,,,1912,,,,LaMarcus Thompson,"967 m (3,173 ft)",16 m (52 ft),60 km/h (37 mph),0,,,,,,,,,,,,,,1912,Luna Park Melbourne,,Wood,LaMarcus Thompson,,,,Cable lift hill,16 m (52 ft),,"967 m (3,173 ft)",60 km/h (37 mph),,,,,The Great Scenic Railway,"The Great Scenic Railway opened in December 1912, making it the oldest operating roller coaster. The roller coaster was originally built with 65,674 metres (215,466 ft) of Canadian Oregon pine. The roller coaster is regarded as an ACE Classic Coaster. The Great Scenic Railway, Luna Park Sydney’s Wild Mouse and Sea World's Leviathan are the only three operating wooden roller coasters in Australia.",,0,3 trains with 2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,
Zippin Pippin,,Wood,,,1912,,,,Martin & Vleminckx,"2,865 ft (873 m)",70 ft (21 m),40 mph (64 km/h),,,,,1:58,,64°,,,,,,,70 ft (21 m),1912,,,Wood,Martin & Vleminckx,John A. Miller,Wooden Coaster,The Gravity Group,Chain lift hill,70 ft (21 m),70 ft (21 m),"2,865 ft (873 m)",40 mph (64 km/h),1:58,64°,,,Zippin Pippin,"The Pippin was built in 1912, 1915, or 1917. After severe damage from a tornado in April 1928, the Pippin was rebuilt by July of the same year at a cost of $45,000, ""higher and longer"" than before.In 1976, the city of Memphis opened a theme park called Libertyland around the Pippin and the Grand Carousel, also on the grounds. Renamed the Zippin Pippin, the coaster was billed as the most prominent and historic ride at Libertyland, and was reportedly Elvis Presley's favorite roller coaster. At first, Presley would rent the entire park on occasion just to ride it without constant fan interference. On August 8, 1977, eight days before his death, Presley rented the park from 1 a.m. to 7 a.m. to entertain a small number of guests and he rode the Zippin Pippin for hours without stopping. On October 29, 2005, citing persistent loss of money, Libertyland permanently closed.
The Zippin Pippin stood without operating for four years in the Libertyland Amusement Park at the Mid-South Fairgrounds, a 125-acre (0.51 km2) tract of land purchased in 1912 and ""dedicated to the Citizens of Memphis for recreation, athletic fields, fairs"". The Libertyland website stated: ""One of the oldest operating wooden roller coasters in North America, the Zippin Pippin is as popular today as it was in the early 20th century. It is 2,865 feet [873 m] long, travels 20.8 mph [33.5 km/h], increasing to 40 mph [64 km/h] at the maximum drop of 70 feet [21 m]. Ride duration is 90 seconds. Great care is taken to replace its wood regularly to preserve its structure. Manufacturer is Amusement Device Co.""",2005,,,,,
Zippin Pippin,,Wood,,,2011,,,,Martin & Vleminckx,"2,865 ft (873 m)",70 ft (21 m),40 mph (64 km/h),,,,,1:58,,64°,,,,,,,70 ft (21 m),2011,,,Wood,Martin & Vleminckx,John A. Miller,Wooden Coaster,The Gravity Group,Chain lift hill,70 ft (21 m),70 ft (21 m),"2,865 ft (873 m)",40 mph (64 km/h),1:58,64°,,,Zippin Pippin,"The Pippin was built in 1912, 1915, or 1917. After severe damage from a tornado in April 1928, the Pippin was rebuilt by July of the same year at a cost of $45,000, ""higher and longer"" than before.In 1976, the city of Memphis opened a theme park called Libertyland around the Pippin and the Grand Carousel, also on the grounds. Renamed the Zippin Pippin, the coaster was billed as the most prominent and historic ride at Libertyland, and was reportedly Elvis Presley's favorite roller coaster. At first, Presley would rent the entire park on occasion just to ride it without constant fan interference. On August 8, 1977, eight days before his death, Presley rented the park from 1 a.m. to 7 a.m. to entertain a small number of guests and he rode the Zippin Pippin for hours without stopping. On October 29, 2005, citing persistent loss of money, Libertyland permanently closed.
The Zippin Pippin stood without operating for four years in the Libertyland Amusement Park at the Mid-South Fairgrounds, a 125-acre (0.51 km2) tract of land purchased in 1912 and ""dedicated to the Citizens of Memphis for recreation, athletic fields, fairs"". The Libertyland website stated: ""One of the oldest operating wooden roller coasters in North America, the Zippin Pippin is as popular today as it was in the early 20th century. It is 2,865 feet [873 m] long, travels 20.8 mph [33.5 km/h], increasing to 40 mph [64 km/h] at the maximum drop of 70 feet [21 m]. Ride duration is 90 seconds. Great care is taken to replace its wood regularly to preserve its structure. Manufacturer is Amusement Device Co.""",2005,,,,,
